OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID,PLAYOFF
1140,Bruce,Alexander,9.0,29600059,0
1153,Joe,Crawford,17.0,29600059,0
1165,Luis,Grillo,8.0,29600059,0
1146,Tony,Brothers,56.0,29600121,0
1157,Terry,Durham,31.0,29600121,0
1177,Ed,Middleton,18.0,29600121,0
1142,Dick,Bavetta,27.0,29600114,0
1147,Mike,Callahan,24.0,29600114,0
1202,Tommie,Wood,39.0,29600114,0
1151,Sean,Corbin,64.0,29600130,0
1144,Ted,Bernhardt,16.0,29600130,0
1152,Dan,Crawford,43.0,29600130,0
1145,Joe,Borgia,33.0,29600146,0
1182,Ronnie,Nunn,34.0,29600146,0
1194,Bill,Spooner,38.0,29600146,0
1151,Sean,Corbin,64.0,29600161,0
1168,David,Jones,36.0,29600161,0
1165,Luis,Grillo,8.0,29600188,0
1153,Joe,Crawford,17.0,29600188,0
1186,Blane,Reichelt,37.0,29600188,0
1148,James,Capers,19.0,29600213,0
1167,Steve,Javie,29.0,29600213,0
1157,Terry,Durham,31.0,29600213,0
1158,Hugh,Evans,25.0,29600221,0
1201,Leon,Wood,40.0,29600221,0
1199,Tom,Washington,49.0,29600221,0
1146,Tony,Brothers,56.0,29600247,0
1157,Terry,Durham,31.0,29600247,0
1192,Bennett,Salvatore,15.0,29600247,0
1176,Monty,McCutchen,58.0,29600248,0
1158,Hugh,Evans,25.0,29600248,0
1163,Bernie,Fryer,7.0,29600248,0
1363,Bennie,Adams,47.0,29600365,0
1199,Tom,Washington,49.0,29600365,0
1158,Hugh,Evans,25.0,29600365,0
1163,Bernie,Fryer,7.0,29600689,0
1199,Tom,Washington,49.0,29600689,0
1164,Ron,Garretson,10.0,29600767,0
1144,Ted,Bernhardt,16.0,29600767,0
1151,Sean,Corbin,64.0,29600767,0
1145,Joe,Borgia,33.0,29600762,0
1190,Eddie,Rush,32.0,29600762,0
1167,Steve,Javie,29.0,29600762,0
1150,Jimmy,Clark,6.0,29700013,0
1194,Bill,Spooner,22.0,29700013,0
1142,Dick,Bavetta,27.0,29700013,0
1192,Bennett,Salvatore,15.0,29700004,0
1157,Terry,Durham,31.0,29700004,0
1176,Monty,McCutchen,58.0,29700004,0
1159,Kevin,Fehr,62.0,29700025,0
1142,Dick,Bavetta,27.0,29700025,0
1150,Jimmy,Clark,6.0,29700025,0
1363,Bennie,Adams,47.0,29700041,0
1199,Tom,Washington,49.0,29700041,0
1158,Hugh,Evans,25.0,29700041,0
1195,Derrick,Stafford,14.0,29700056,0
1160,Nolan,Fine,50.0,29700056,0
1140,Bruce,Alexander,9.0,29700056,0
1194,Bill,Spooner,22.0,29700085,0
1159,Kevin,Fehr,62.0,29700085,0
1167,Steve,Javie,29.0,29700085,0
1151,Sean,Corbin,64.0,29700113,0
