GAME_ID,DATE,HOMETEAM,AWAYTEAM,HOMESPREAD_ATOPEN,HOMESPREAD_ATCLOSE,OVER_ATOPEN,OVER_ATCLOSE,HOMEML,AWAYML,2H_HOMESPREAD,2H_OVER,WL_HOME,PLUS_MINUS_HOME
20700001,2007-10-30 00:00:00,SAS,POR,-12.5,-13.0,184.0,189.5,1.0714285714285714,10.0,-5.0,95.0,W,9.0
20700003,2007-10-30 00:00:00,GSW,UTA,-3.0,-1.0,214.5,212.0,1.8333333333333333,2.0,-3.0,105.5,L,-21.0
20700002,2007-10-30 00:00:00,LAL,HOU,2.5,5.0,191.0,199.0,2.9,1.434782608695652,3.0,99.0,L,-2.0
20700004,2007-10-31 00:00:00,TOR,PHI,-6.5,-6.5,190.0,191.0,1.3278688524590163,3.55,-2.0,96.5,W,9.0
20700006,2007-10-31 00:00:00,IND,WAS,-1.5,1.5,200.0,203.5,2.05,1.8,1.0,105.0,W,9.0
20700005,2007-10-31 00:00:00,ORL,MIL,-8.0,-6.5,198.5,197.0,1.3389830508474576,3.45,-3.5,97.0,W,19.0
20700007,2007-10-31 00:00:00,NJN,CHI,-2.0,-1.5,188.0,186.0,1.8,2.05,3.0,94.0,W,9.0
20700008,2007-10-31 00:00:00,CLE,DAL,3.0,2.5,186.0,184.0,2.2,1.7142857142857144,-4.0,91.5,L,-18.0
20700009,2007-10-31 00:00:00,MEM,SAS,7.0,6.5,198.0,201.0,3.1,1.4,4.0,99.5,L,-3.0
20700010,2007-10-31 00:00:00,NOH,SAC,-10.0,-9.5,193.0,190.5,1.1904761904761905,5.25,-1.5,94.0,W,14.0
20700011,2007-10-31 00:00:00,DEN,SEA,-10.5,-11.5,213.0,217.5,1.121212121212121,7.25,-6.5,107.5,W,17.0
20700012,2007-11-01 00:00:00,MIA,DET,4.0,4.0,181.0,178.5,2.6,1.526315789473684,0.0,89.5,L,-11.0
20700013,2007-11-01 00:00:00,UTA,HOU,-3.5,-3.0,191.0,193.0,1.625,2.4,-3.5,98.5,L,-11.0
20700014,2007-11-01 00:00:00,SEA,PHX,9.0,12.0,223.0,224.5,6.75,1.137931034482759,9.0,112.5,L,-7.0
20700015,2007-11-02 00:00:00,CHA,MIL,-2.5,-4.0,200.0,196.5,1.5882352941176472,2.5,-4.0,96.5,W,3.0
20700016,2007-11-02 00:00:00,ORL,DET,-2.5,-4.0,184.0,183.5,1.5882352941176472,2.5,-4.5,93.5,L,-24.0
20700017,2007-11-02 00:00:00,IND,MIA,-6.5,-6.5,186.5,192.0,1.3636363636363638,3.35,-4.0,96.5,W,2.0
20700018,2007-11-02 00:00:00,NJN,TOR,-5.0,-4.0,192.5,193.5,1.5714285714285714,2.55,-6.0,96.0,L,-37.0
20700019,2007-11-02 00:00:00,ATL,DAL,6.0,5.5,192.0,191.0,3.1,1.4,5.0,94.5,W,7.0
20700020,2007-11-02 00:00:00,CLE,NYK,-7.5,-6.0,186.5,186.0,1.4,3.1,-4.0,94.0,W,4.0
20700021,2007-11-02 00:00:00,BOS,WAS,-6.0,-7.5,208.0,205.5,1.2985074626865671,3.85,2.5,105.0,W,20.0
20700022,2007-11-02 00:00:00,NOH,POR,-8.0,-7.5,192.0,203.0,1.3076923076923077,3.75,-2.0,102.5,W,20.0
20700023,2007-11-02 00:00:00,MIN,DEN,8.5,7.5,209.0,208.5,4.15,1.2666666666666666,6.5,104.0,L,-8.0
20700024,2007-11-02 00:00:00,CHI,PHI,-9.5,-9.5,189.0,190.0,1.2,5.0,-7.0,94.0,L,-11.0
20700025,2007-11-02 00:00:00,SAS,SAC,-14.5,-14.5,190.5,191.0,1.05,13.0,-2.0,92.5,W,16.0
