OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
1140,Bruce,Alexander,9,0029600059
1153,Joe,Crawford,17,0029600059
1165,Luis,Grillo,8,0029600059
1146,Tony,Brothers,56,0029600121
1157,Terry,Durham,31,0029600121
1177,Ed,Middleton,18,0029600121
1142,Dick,Bavetta,27,0029600114
1147,Mike,Callahan,24,0029600114
1202,Tommie,Wood,39,0029600114
1151,Sean,Corbin,64,0029600130
1144,Ted,Bernhardt,16,0029600130
1152,Dan,Crawford,43,0029600130
1145,Joe,Borgia,33,0029600146
1182,Ronnie,Nunn,34,0029600146
1194,Bill,Spooner,38,0029600146
1151,Sean,Corbin,64,0029600161
1168,David,Jones,36,0029600161
1165,Luis,Grillo,8,0029600188
1153,Joe,Crawford,17,0029600188
1186,Blane,Reichelt,37,0029600188
1148,James,Capers,19,0029600213
1167,Steve,Javie,29,0029600213
1157,Terry,Durham,31,0029600213
1158,Hugh,Evans,25,0029600221
1201,Leon,Wood,40,0029600221
1199,Tom,Washington,49,0029600221
1146,Tony,Brothers,56,0029600247
1157,Terry,Durham,31,0029600247
1192,Bennett,Salvatore,15,0029600247
1176,Monty,McCutchen,58,0029600248
1158,Hugh,Evans,25,0029600248
1163,Bernie,Fryer,7,0029600248
1363,Bennie,Adams,47,0029600365
1199,Tom,Washington,49,0029600365
1158,Hugh,Evans,25,0029600365
1163,Bernie,Fryer,07,0029600689
1199,Tom,Washington,49,0029600689
1164,Ron,Garretson,10,0029600767
1144,Ted,Bernhardt,16,0029600767
1151,Sean,Corbin,64,0029600767
1145,Joe,Borgia,33,0029600762
1190,Eddie,Rush,32,0029600762
1167,Steve,Javie,29,0029600762
1150,Jimmy,Clark,6,0029700013
1194,Bill,Spooner,22,0029700013
1142,Dick,Bavetta,27,0029700013
1192,Bennett,Salvatore,15,0029700004
1157,Terry,Durham,31,0029700004
1176,Monty,McCutchen,58,0029700004
1159,Kevin,Fehr,62,0029700025
1142,Dick,Bavetta,27,0029700025
1150,Jimmy,Clark,6,0029700025
1363,Bennie,Adams,47,0029700041
1199,Tom,Washington,49,0029700041
1158,Hugh,Evans,25,0029700041
1195,Derrick,Stafford,14,0029700056
1160,Nolan,Fine,50,0029700056
1140,Bruce,Alexander,9,0029700056
1194,Bill,Spooner,22,0029700085
1159,Kevin,Fehr,62,0029700085
1167,Steve,Javie,29,0029700085
1151,Sean,Corbin,64,0029700113
1168,David,Jones,36,0029700113
1142,Dick,Bavetta,27,0029700113
1184,Ron,Olesiak,44,0029700144
1167,Steve,Javie,29,0029700144
1188,Leroy,Richardson,51,0029700144
1204,Derek,Richardson,63,0029700169
1166,Hue,Hollins,42,0029700169
1140,Bruce,Alexander,9,0029700169
1167,Steve,Javie,29,0029700178
1168,David,Jones,36,0029700178
1194,Bill,Spooner,22,0029700178
1195,Derrick,Stafford,14,0029700254
1163,Bernie,Fryer,7,0029700254
1204,Derek,Richardson,63,0029700254
1180,Jack,Nies,35,0029700258
1174,Ken,Mauer,41,0029700258
1193,Michael,Smith,59,0029700258
1168,David,Jones,36,0029700281
1167,Steve,Javie,29,0029700281
1151,Sean,Corbin,64,0029700281
1177,Ed,Middleton,18,0029700374
1201,Leon,Wood,40,0029700374
1192,Bennett,Salvatore,15,0029700374
1203,Mark,Wunderlich,61,0029700385
1148,James,Capers,19,0029700385
1181,Tommy,Nunez,28,0029700385
1181,Tommy,Nunez,28,0029700409
1186,Blane,Reichelt,37,0029700409
1185,Violet,Palmer,66,0029700409
1168,David,Jones,36,0029700438
1150,Jimmy,Clark,6,0029700438
1143,Gary,Benson,30,0029700438
1204,Derek,Richardson,63,0029700712
1161,Joe,Forte,45,0029700712
1140,Bruce,Alexander,9,0029700712
1183,Bill,Oakes,21,0029700778
1185,Violet,Palmer,66,0029700778
1186,Blane,Reichelt,37,0029700778
1146,Tony,Brothers,56,0029700804
1192,Bennett,Salvatore,15,0029700804
1177,Ed,Middleton,18,0029700804
1181,Tommy,Nunez,28,0029700842
1193,Michael,Smith,59,0029700842
1151,Sean,Corbin,64,0029700842
1159,Kevin,Fehr,62,0029700915
1195,Derrick,Stafford,14,0029700915
1168,David,Jones,36,0029700915
1165,Luis,Grillo,8,0029701032
1179,Rodney,Mott,71,0029701032
1157,Terry,Durham,31,0029701032
1661,Rashan,Michel,74,0029701045
1183,Bill,Oakes,21,0029701045
1186,Blane,Reichelt,37,0029701045
1163,Bernie,Fryer,7,0029701113
1198,Scott,Wall,60,0029701113
1147,Mike,Callahan,24,0029701113
1186,Blane,Reichelt,37,0029701140
1181,Tommy,Nunez,28,0029701140
1180,Jack,Nies,35,0029701140
1159,Kevin,Fehr,62,0029800006
1161,Joe,Forte,45,0029800006
1155,JB,DeRosa,52,0029800006
1203,Mark,Wunderlich,61,0029800007
1163,Bernie,Fryer,7,0029800007
1662,Bill,Kennedy,73,0029800007
1158,Hugh,Evans,25,0029800010
1165,Luis,Grillo,8,0029800010
1146,Tony,Brothers,56,0029800010
1200,Greg,Willard,57,0029800041
1661,Rashan,Michel,74,0029800041
1164,Ron,Garretson,10,0029800041
1195,Derrick,Stafford,14,0029800042
1204,Derek,Richardson,63,0029800042
1168,David,Jones,36,0029800042
1152,Dan,Crawford,43,0029800038
1185,Violet,Palmer,66,0029800038
1157,Terry,Durham,31,0029800038
1195,Derrick,Stafford,14,0029800059
1163,Bernie,Fryer,7,0029800059
1204,Derek,Richardson,63,0029800059
1159,Kevin,Fehr,62,0029800060
1155,JB,DeRosa,52,0029800060
1142,Dick,Bavetta,27,0029800060
1150,Jimmy,Clark,6,0029800061
1162,Scott,Foster,48,0029800061
1202,Tommie,Wood,39,0029800061
1160,Nolan,Fine,50,0029800075
1180,Jack,Nies,35,0029800075
1201,Leon,Wood,40,0029800075
1830,Marc,Davis,64,0029800101
1167,Steve,Javie,29,0029800101
1162,Scott,Foster,48,0029800101
1180,Jack,Nies,35,0029800137
1201,Leon,Wood,40,0029800137
1193,Michael,Smith,59,0029800137
1164,Ron,Garretson,10,0029800185
1363,Bennie,Adams,47,0029800185
1200,Greg,Willard,57,0029800185
1170,Denise,Kantner,65,0029800238
1157,Terry,Durham,31,0029800238
1163,Bernie,Fryer,7,0029800238
1155,JB,DeRosa,52,0029800289
1142,Dick,Bavetta,27,0029800289
1170,Denise,Kantner,65,0029800289
