OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
1167,Steve,Javie,29,0049600006
1144,Ted,Bernhardt,16,0049600006
1161,Joe,Forte,45,0049600006
1158,Hugh,Evans,25,0049600014
1197,Don,Vaden,12,0049600014
1160,Nolan,Fine,50,0049600014
1190,Eddie,Rush,4,0049600013
1154,Bob,Delaney,26,0049600013
1199,Tom,Washington,49,0049600013
1174,Ken,Mauer,41,0049600023
1168,David,Jones,36,0049600023
1142,Dick,Bavetta,27,0049600023
1190,Eddie,Rush,32,0049600041
1153,Joe,Crawford,17,0049600041
1163,Bernie,Fryer,7,0049600041
1192,Bennett,Salvatore,15,0049600042
1184,Ron,Olesiak,44,0049600042
1167,Steve,Javie,29,0049600042
1181,Tommy,Nunez,28,0049600043
1153,Joe,Crawford,17,0049600043
1164,Ron,Garretson,10,0049600043
1160,Nolan,Fine,50,0049600047
1190,Eddie,Rush,32,0049600047
1167,Steve,Javie,29,0049600047
1142,Dick,Bavetta,27,0049600048
1183,Bill,Oakes,21,0049600048
1157,Terry,Durham,31,0049600048
1154,Bob,Delaney,26,0049600051
1195,Derrick,Stafford,14,0049600051
1158,Hugh,Evans,25,0049600051
1166,Hue,Hollins,42,0049600053
1155,JB,DeRosa,52,0049600053
1192,Bennett,Salvatore,15,0049600053
1158,Hugh,Evans,25,0049600057
1195,Derrick,Stafford,14,0049600057
1164,Ron,Garretson,10,0049600057
1190,Eddie,Rush,4,0049600058
1174,Ken,Mauer,41,0049600058
1161,Joe,Forte,45,0049600058
1166,Hue,Hollins,42,0049600063
1164,Ron,Garretson,10,0049600063
1190,Eddie,Rush,32,0049600063
1158,Hugh,Evans,25,0049600066
1192,Bennett,Salvatore,15,0049600066
1167,Steve,Javie,29,0049600066
1192,Bennett,Salvatore,15,0049600070
1158,Hugh,Evans,25,0049600070
1190,Eddie,Rush,32,0049600070
1167,Steve,Javie,29,0049600072
1163,Bernie,Fryer,7,0049600072
1183,Bill,Oakes,21,0049600072
1180,Jack,Nies,35,0049600074
1164,Ron,Garretson,10,0049600074
1142,Dick,Bavetta,27,0049600074
1154,Bob,Delaney,26,0049600076
1190,Eddie,Rush,4,0049600076
1161,Joe,Forte,45,0049600076
1197,Don,Vaden,12,0049600078
1166,Hue,Hollins,42,0049600078
1153,Joe,Crawford,17,0049600078
1167,Steve,Javie,29,0049600079
1190,Eddie,Rush,32,0049600079
1142,Dick,Bavetta,27,0049600079
1152,Dan,Crawford,43,0049600083
1190,Eddie,Rush,4,0049600083
1183,Bill,Oakes,21,0049600083
1158,Hugh,Evans,25,0049600084
1192,Bennett,Salvatore,15,0049600084
1167,Steve,Javie,29,0049600084
1153,Joe,Crawford,17,0049600085
1166,Hue,Hollins,42,0049600085
1180,Jack,Nies,35,0049600085
1142,Dick,Bavetta,27,0049600086
1161,Joe,Forte,45,0049600086
1190,Eddie,Rush,4,0049600086
1158,Hugh,Evans,25,0049600087
1152,Dan,Crawford,43,0049600087
1183,Bill,Oakes,21,0049600087
1153,Joe,Crawford,17,0049600088
1192,Bennett,Salvatore,15,0049600088
1167,Steve,Javie,29,0049600088
1195,Derrick,Stafford,14,0049900015
1192,Bennett,Salvatore,15,0049900015
1182,Ronnie,Nunn,34,0049900015
1147,Mike,Callahan,24,0049900025
1152,Dan,Crawford,43,0049900025
1150,Jimmy,Clark,6,0049900025
1155,JB,DeRosa,52,0049900041
1825,Mike,Mathis,13,0049900041
1192,Bennett,Salvatore,15,0049900041
1190,Eddie,Rush,32,0049900056
1144,Ted,Bernhardt,16,0049900056
1164,Ron,Garretson,10,0049900056
1164,Ron,Garretson,10,0049900044
1190,Eddie,Rush,32,0049900044
1180,Jack,Nies,35,0049900044
1167,Steve,Javie,29,0049900075
1158,Hugh,Evans,25,0049900075
1142,Dick,Bavetta,27,0049900075
1163,Bernie,Fryer,7,0040000005
1197,Don,Vaden,12,0040000005
1194,Bill,Spooner,22,0040000005
1167,Steve,Javie,29,0040000028
1163,Bernie,Fryer,7,0040000028
1203,Mark,Wunderlich,18,0040000028
1162,Scott,Foster,48,0040000030
1166,Hue,Hollins,42,0040000030
1180,Jack,Nies,35,0040000030
1155,JB,DeRosa,14,0040100131
1190,Eddie,Rush,32,0040100131
1203,Mark,Wunderlich,18,0040100131
1186,Blane,Reichelt,37,0040100141
1164,Ron,Garretson,10,0040100141
1163,Bernie,Fryer,7,0040100141
